Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts
D,1,Cédric,4.5,4.5,Arsenal,10,0.34,9,0.32,11,0.42,11,0.49,11,0.43
G,2,Leno,4.5,4.5,Arsenal,4,0.14,5,0.22,5,0.22,7,0.32,8,0.33
M,3,Xhaka,5.0,5.0,Arsenal,70,2.33,66,2.36,63,2.26,61,2.39,61,2.24
M,4,Elneny,4.5,4.5,Arsenal,29,1.01,28,1.03,26,0.96,28,1.11,29,1.08
D,5,Holding,4.5,4.5,Arsenal,10,0.35,11,0.45,13,0.54,14,0.64,17,0.76
M,6,Partey,5.0,5.0,Arsenal,56,1.89,52,1.86,51,1.83,52,2.07,49,1.79
M,7,Ødegaard,6.5,6.5,Arsenal,76,3.39,75,3.69,73,3.54,72,3.96,72,3.65
D,8,Tierney,5.0,5.0,Arsenal,42,1.64,57,2.53,73,3.41,69,3.66,70,3.27
M,9,Pépé,5.5,5.5,Arsenal,7,0.49,10,0.74,12,0.86,15,1.16,14,1.01
D,10,White,4.5,4.5,Arsenal,69,2.35,65,2.53,68,2.74,65,3.01,64,2.59
F,11,Nketiah,7.0,7.0,Arsenal,19,1.16,25,1.61,26,1.67,30,2.10,30,1.90
M,12,Smith Rowe,6.0,6.0,Arsenal,30,1.80,33,2.10,33,2.08,32,2.28,32,2.08
M,13,Saka,8.0,8.0,Arsenal,78,4.20,75,4.58,74,4.54,72,5.05,71,4.46
D,14,Tomiyasu,4.5,4.5,Arsenal,76,2.92,75,3.27,72,3.28,71,3.68,71,3.22
G,15,Ramsdale,5.0,5.0,Arsenal,87,3.49,85,3.58,85,3.66,83,3.81,83,3.55
D,16,Gabriel,5.0,5.0,Arsenal,80,3.21,76,3.54,76,3.61,74,4.07,72,3.47
D,17,Tavares,4.5,4.5,Arsenal,7,0.28,6,0.28,4,0.20,4,0.22,4,0.20
M,18,Sambi,4.5,4.5,Arsenal,6,0.25,6,0.26,5,0.25,6,0.28,7,0.33
M,19,Martinelli,6.0,6.0,Arsenal,65,3.58,62,3.81,62,3.77,61,4.26,61,3.82
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.01,0,0.01,1,0.03,1,0.02
M,21,Maitland-Niles,5.0,5.0,Arsenal,3,0.20,3,0.23,4,0.30,4,0.31,4,0.28
M,22,Torreira,4.5,4.5,Arsenal,0,0.02,1,0.04,1,0.03,1,0.04,1,0.06
M,23,Nelson,5.0,5.0,Arsenal,0,0.01,1,0.05,1,0.04,1,0.07,1,0.06
G,24,Turner,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,25,Fábio Vieira,6.0,6.0,Arsenal,9,0.53,11,0.67,12,0.71,14,0.94,14,0.85
D,26,Saliba,4.5,4.5,Arsenal,25,0.94,33,1.40,26,1.16,31,1.54,31,1.38
M,27,Marquinhos,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.01,0,0.02,0,0.02
F,28,Jesus,8.0,8.0,Arsenal,82,4.39,79,4.74,76,4.49,75,5.07,74,4.46
M,29,Coutinho,7.0,7.0,Aston Villa,69,3.69,68,3.95,67,3.24,64,3.48,65,2.81
F,30,Ings,7.0,7.0,Aston Villa,46,2.79,42,2.76,45,2.52,48,2.89,43,2.16
G,31,Martínez,5.0,5.0,Aston Villa,89,3.61,87,3.66,87,3.30,87,3.49,86,3.06
D,32,Chambers,4.5,4.5,Aston Villa,14,0.56,17,0.71,17,0.56,17,0.66,18,0.47
D,33,Digne,5.0,5.0,Aston Villa,82,3.61,77,3.72,75,2.69,73,3.16,72,2.02
M,34,Traoré,5.0,5.0,Aston Villa,11,0.76,12,0.86,11,0.66,12,0.76,12,0.66
G,35,Olsen,4.0,4.0,Aston Villa,1,0.02,2,0.08,2,0.09,2,0.09,3,0.10
M,36,Sanson,4.5,4.5,Aston Villa,6,0.35,8,0.42,9,0.42,10,0.49,11,0.51
M,37,McGinn,5.5,5.5,Aston Villa,80,2.60,76,2.60,74,2.27,72,2.36,70,2.02
D,38,Hause,4.5,4.5,Aston Villa,3,0.14,6,0.27,7,0.25,6,0.24,5,0.16
D,39,Mings,4.5,4.5,Aston Villa,83,3.12,83,3.37,80,2.44,76,2.76,74,1.77
F,40,Watkins,7.5,7.5,Aston Villa,80,3.89,79,4.10,78,3.46,78,3.84,77,3.04
M,41,Nakamba,4.5,4.5,Aston Villa,4,0.20,6,0.32,8,0.37,8,0.36,9,0.39
M,42,Buendía,6.0,6.0,Aston Villa,44,2.48,45,2.72,43,2.23,43,2.44,44,2.04
D,43,Cash,5.0,5.0,Aston Villa,83,3.29,81,3.47,79,2.53,76,2.96,75,1.90
D,44,Konsa,4.5,4.5,Aston Villa,0,0.00,0,0.02,5,0.15,16,0.61,20,0.56
M,45,Bailey,5.0,5.0,Aston Villa,54,2.73,53,2.88,52,2.42,51,2.63,52,2.20
M,46,Douglas Luiz,5.0,5.0,Aston Villa,22,0.82,27,1.03,29,1.02,30,1.13,31,1.03
M,47,Ramsey,5.5,5.5,Aston Villa,66,2.57,64,2.61,63,2.29,62,2.42,61,2.05
M,48,Chukwuemeka,4.5,4.5,Aston Villa,2,0.17,4,0.27,4,0.27,6,0.38,5,0.34
M,49,Iroegbunam,4.5,4.5,Aston Villa,1,0.04,1,0.06,2,0.08,2,0.09,3,0.11
D,50,Diego Carlos,5.0,5.0,Aston Villa,81,3.14,79,3.33,77,2.45,73,2.79,71,1.80
M,51,El Ghazi,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.01,0,0.03
F,52,Davis,5.5,5.5,Aston Villa,3,0.25,2,0.20,4,0.30,4,0.30,4,0.30
M,53,Kamara,5.0,5.0,Aston Villa,77,2.39,73,2.33,72,2.10,73,2.26,70,1.94
F,54,Archer,4.5,4.5,Aston Villa,3,0.16,4,0.24,5,0.24,5,0.30,4,0.20
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.03,0,0.01,0,0.02,1,0.04,0,0.03
D,56,Guilbert,4.0,4.0,Aston Villa,4,0.16,5,0.21,6,0.21,7,0.28,8,0.24
D,57,Smith,4.5,4.5,Bournemouth,55,1.83,56,0.60,54,1.44,54,0.60,55,1.91
M,58,Stanislas,5.0,5.0,Bournemouth,3,0.25,5,0.30,5,0.37,6,0.38,9,0.64
D,59,Fredericks,4.5,4.5,Bournemouth,66,2.22,63,0.71,58,1.61,61,0.72,59,2.10
M,60,Brooks,5.5,5.5,Bournemouth,2,0.17,3,0.22,5,0.32,6,0.32,7,0.42
M,61,Lowe,5.5,5.5,Bournemouth,15,0.86,19,0.83,22,1.13,21,0.92,21,1.20
F,62,Moore,5.5,5.5,Bournemouth,7,0.40,10,0.43,11,0.54,11,0.44,15,0.72
M,63,Marcondes,5.0,5.0,Bournemouth,11,0.64,15,0.65,18,0.89,18,0.78,20,1.05
M,64,Lerma,5.0,5.0,Bournemouth,81,2.43,76,1.87,74,2.13,72,1.80,71,2.20
D,65,Stacey,4.5,4.5,Bournemouth,6,0.22,8,0.13,9,0.27,10,0.15,11,0.37
F,66,Solanke,6.0,6.0,Bournemouth,80,4.14,77,2.64,76,3.51,75,2.62,73,3.84
M,67,Cook,5.0,5.0,Bournemouth,79,2.32,74,1.82,72,2.04,70,1.76,70,2.14
M,68,Pearson,4.5,4.5,Bournemouth,16,0.61,21,0.70,22,0.80,27,0.85,24,0.90
M,69,Christie,5.5,5.5,Bournemouth,69,2.80,66,2.00,64,2.42,65,2.01,63,2.65
M,70,Billing,5.5,5.5,Bournemouth,72,3.35,67,2.18,66,2.76,63,2.10,65,3.04
D,71,Mepham,4.5,4.5,Bournemouth,81,2.54,76,0.73,74,1.90,75,0.74,73,2.45
G,72,Travers,4.5,4.5,Bournemouth,89,3.37,87,3.04,86,3.09,86,3.00,85,3.32
D,73,Kelly,4.5,4.5,Bournemouth,85,2.55,84,0.69,81,1.93,79,0.69,79,2.48
M,74,Dembélé,5.0,5.0,Bournemouth,18,0.92,22,0.85,21,0.98,21,0.84,23,1.16
M,75,Anthony,5.5,5.5,Bournemouth,66,3.11,63,2.13,61,2.65,62,2.12,59,2.90
D,76,Zemura,4.5,4.5,Bournemouth,51,1.65,53,0.53,57,1.49,54,0.56,54,1.82
G,77,Dennis,4.0,4.0,Bournemouth,1,0.03,2,0.09,3,0.10,3,0.12,4,0.14
D,78,Jansson,4.5,4.5,Brentford,86,2.29,81,2.53,78,2.72,76,2.98,73,2.13
M,79,Nørgaard,5.5,5.5,Brentford,82,2.54,79,2.58,77,2.63,74,2.65,74,2.35
F,80,Toney,7.0,7.0,Brentford,83,3.80,80,3.96,78,4.07,76,4.28,75,3.57
G,81,Raya,4.5,4.5,Brentford,89,3.28,88,3.36,87,3.53,88,3.71,87,3.30
D,82,Canós,5.0,5.0,Brentford,0,0.00,33,1.76,36,2.13,34,2.25,35,1.79
M,83,Dasilva,4.5,4.5,Brentford,33,1.39,35,1.46,36,1.58,37,1.66,38,1.54
D,84,Ajer,4.5,4.5,Brentford,6,0.20,23,0.81,41,1.52,55,2.30,56,1.76
D,85,Henry,4.5,4.5,Brentford,76,2.27,73,2.53,71,2.73,65,2.79,66,2.13
M,86,Janelt,5.5,5.5,Brentford,72,2.45,72,2.55,69,2.56,68,2.66,66,2.29
M,87,Ghoddos,5.0,5.0,Brentford,15,0.82,11,0.58,14,0.78,14,0.82,16,0.81
M,88,Jensen,5.0,5.0,Brentford,65,2.41,60,2.37,60,2.46,58,2.52,60,2.28
M,89,Wissa,5.5,5.5,Brentford,64,2.88,57,2.81,57,3.01,58,3.27,55,2.65
D,90,Roerslev,4.5,4.5,Brentford,46,1.38,36,1.27,26,0.99,25,1.07,24,0.80
D,91,Bech,4.5,4.5,Brentford,28,0.85,28,0.95,29,1.08,28,1.16,30,0.95
D,92,Pinnock,4.5,4.5,Brentford,81,2.20,78,2.45,78,2.75,77,3.05,74,2.19
M,93,Onyeka,5.0,5.0,Brentford,16,0.70,20,0.86,20,0.90,23,1.01,23,0.96
M,94,Baptiste,4.5,4.5,Brentford,9,0.44,9,0.46,10,0.49,12,0.59,10,0.48
F,95,Mbeumo,6.0,6.0,Brentford,77,2.98,75,3.07,72,3.12,71,3.31,71,2.85
D,96,Goode,4.0,4.0,Brentford,2,0.07,2,0.08,2,0.08,2,0.10,2,0.08
F,97,Forss,4.5,4.5,Brentford,2,0.16,2,0.13,4,0.28,4,0.32,6,0.36
D,98,Thompson,4.0,4.0,Brentford,1,0.02,1,0.02,1,0.03,1,0.03,1,0.02
M,99,Bidstrup,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,100,Balcombe,4.0,4.0,Brentford,0,0.02,2,0.07,1,0.04,1,0.03,1,0.05
M,101,Lallana,5.0,5.0,Brighton,19,0.81,20,0.94,24,1.01,25,1.15,26,1.14
G,102,Steele,4.0,4.0,Brighton,1,0.02,2,0.07,2,0.07,3,0.11,4,0.18
F,103,Welbeck,6.5,6.5,Brighton,55,2.41,55,2.89,53,2.44,51,2.88,52,2.70
M,104,Gross,5.5,5.5,Brighton,55,2.16,57,2.69,56,2.29,57,2.83,56,2.61
D,105,Duffy,4.5,4.5,Brighton,17,0.46,23,0.92,27,0.82,29,1.19,29,1.11
D,106,Dunk,4.5,4.5,Brighton,85,2.32,82,3.31,82,2.52,81,3.49,81,3.15
M,107,March,5.0,5.0,Brighton,56,1.80,55,1.98,54,1.79,54,2.00,54,1.94
D,108,Webster,4.5,4.5,Brighton,79,2.24,75,3.12,71,2.25,70,3.10,70,2.81
D,109,Veltman,4.5,4.5,Brighton,68,1.82,67,2.58,68,2.01,64,2.60,65,2.41
F,110,Maupay,6.5,6.5,Brighton,32,1.44,32,1.76,34,1.61,36,2.05,34,1.82
M,111,Trossard,6.5,6.5,Brighton,71,2.61,68,3.01,67,2.59,67,3.18,69,2.95
D,112,Cucurella,5.0,5.0,Man City,40,1.87,42,2.51,40,1.93,43,2.33,42,2.55
G,113,Sánchez,4.5,4.5,Brighton,90,3.25,88,3.67,88,3.29,87,3.67,85,3.51
D,114,Lamptey,4.5,4.5,Brighton,62,1.99,60,2.73,61,2.13,59,2.79,57,2.51
M,115,Alzate,4.5,4.5,Brighton,6,0.33,7,0.39,8,0.42,10,0.51,9,0.47
M,116,Mac Allister,5.5,5.5,Brighton,75,2.75,73,3.33,71,2.78,68,3.30,68,2.99
M,117,Moder,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,118,Mwepu,5.5,5.5,Brighton,58,2.32,57,2.67,59,2.46,59,2.85,58,2.65
M,119,Sarmiento,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,120,Caicedo,5.0,5.0,Brighton,73,2.31,73,2.61,70,2.30,69,2.56,66,2.39
M,121,Richards,4.5,4.5,Brighton,0,0.00,0,0.02,0,0.03,1,0.06,1,0.04
D,122,Roberts,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,123,Undav,5.5,5.5,Brighton,67,2.80,64,3.28,63,2.84,62,3.44,63,3.21
M,124,Mitoma,5.0,5.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,125,Enciso,5.0,5.0,Brighton,14,0.75,17,1.02,20,1.06,21,1.25,21,1.18
M,126,Kozłowski,4.5,4.5,Brighton,0,0.02,1,0.04,1,0.05,1,0.07,1,0.07
D,127,Azpilicueta,5.0,5.0,Chelsea,37,1.71,41,1.73,43,1.90,42,2.03,42,1.94
D,128,Thiago Silva,5.5,5.5,Chelsea,83,3.47,80,3.08,77,3.18,78,3.49,74,3.20
D,129,Alonso,5.5,5.5,Chelsea,5,0.23,9,0.41,10,0.50,11,0.58,10,0.54
M,130,Jorginho,6.0,6.0,Chelsea,41,1.85,43,1.84,44,1.96,44,2.06,44,1.99
M,131,Barkley,5.0,5.0,Chelsea,1,0.05,2,0.11,2,0.14,3,0.18,2,0.13
M,132,Kovacic,5.0,5.0,Chelsea,60,2.29,58,2.16,55,2.12,54,2.15,54,2.10
G,133,Arrizabalaga,4.5,4.5,Chelsea,1,0.04,2,0.07,3,0.12,4,0.17,5,0.21
M,134,Kanté,5.0,5.0,Chelsea,75,2.71,73,2.57,69,2.54,69,2.63,67,2.50
M,135,Ziyech,6.0,6.0,Chelsea,15,0.89,17,1.01,18,1.10,19,1.24,18,1.17
M,136,Loftus-Cheek,5.0,5.0,Chelsea,14,0.63,15,0.65,17,0.75,19,0.84,17,0.76
F,137,Werner,8.0,8.0,Chelsea,39,2.30,41,2.33,37,2.22,39,2.42,42,2.50
D,138,Kenedy,4.0,4.0,Chelsea,1,0.07,1,0.12,2,0.15,2,0.18,3,0.27
D,139,Chilwell,6.0,6.0,Chelsea,83,4.07,79,3.60,77,3.75,76,4.04,75,3.81
M,140,Pulisic,6.0,6.0,Chelsea,17,0.96,18,1.01,17,0.97,18,1.09,19,1.10
D,141,Chalobah,5.0,5.0,Chelsea,23,1.06,24,1.05,24,1.11,26,1.28,26,1.24
M,142,Mount,8.0,8.0,Chelsea,79,4.78,76,4.42,75,4.61,73,4.79,72,4.47
D,143,Sarr,5.0,5.0,Chelsea,8,0.30,9,0.31,11,0.44,10,0.41,12,0.48
M,144,Hudson-Odoi,5.5,5.5,Chelsea,6,0.40,7,0.44,7,0.47,8,0.51,10,0.57
F,145,Havertz,8.0,8.0,Chelsea,67,3.66,65,3.46,66,3.64,64,3.75,63,3.53
D,146,James,6.0,6.0,Chelsea,80,4.43,79,4.01,76,4.16,76,4.52,76,4.29
G,147,Mendy,5.0,5.0,Chelsea,88,3.69,87,3.49,86,3.55,85,3.63,84,3.54
M,148,Gallagher,6.0,6.0,Chelsea,9,0.39,8,0.35,11,0.49,11,0.55,12,0.56
M,149,Gilmour,4.5,4.5,Chelsea,2,0.10,3,0.12,4,0.17,4,0.17,4,0.19
F,150,Broja,5.5,5.5,Chelsea,7,0.46,7,0.43,7,0.48,8,0.56,8,0.53
D,151,Ampadu,4.5,4.5,Chelsea,1,0.02,1,0.03,2,0.06,3,0.10,3,0.09
G,152,Guaita,4.5,4.5,Crystal Palace,84,3.17,83,2.87,83,3.40,81,2.80,77,3.25
D,153,Tomkins,4.0,4.0,Crystal Palace,8,0.28,13,0.24,16,0.61,19,0.33,18,0.76
M,154,McArthur,5.0,5.0,Crystal Palace,54,1.83,54,1.54,53,1.92,56,1.58,53,2.01
F,155,Benteke,5.5,5.5,Crystal Palace,12,0.76,11,0.57,15,0.98,14,0.69,15,1.00
D,156,Ward,4.5,4.5,Crystal Palace,14,0.43,18,0.29,20,0.73,23,0.35,23,0.89
D,157,Clyne,4.5,4.5,Crystal Palace,75,2.34,68,1.02,67,2.56,65,0.94,64,2.59
M,158,Milivojevic,4.5,4.5,Crystal Palace,21,0.93,25,0.96,24,1.08,25,0.97,28,1.27
M,159,Ayew,5.5,5.5,Crystal Palace,40,1.87,42,1.54,39,1.98,41,1.49,40,2.14
M,160,Zaha,7.0,7.0,Crystal Palace,82,3.94,79,2.81,76,4.19,77,2.69,75,4.30
M,161,Schlupp,5.0,5.0,Crystal Palace,58,2.07,57,1.71,58,2.25,56,1.68,58,2.34
G,162,Butland,4.5,4.5,Crystal Palace,1,0.03,1,0.03,1,0.04,2,0.05,3,0.13
M,163,Hughes,5.0,5.0,Crystal Palace,55,1.88,51,1.55,56,2.04,53,1.57,51,1.91
M,164,Riedewald,4.5,4.5,Crystal Palace,6,0.25,8,0.33,8,0.35,11,0.42,10,0.44
D,165,Andersen,4.5,4.5,Crystal Palace,86,2.61,82,1.16,80,3.02,79,1.08,77,3.09
F,166,Edouard,5.5,5.5,Crystal Palace,36,1.88,38,1.56,38,2.12,38,1.54,40,2.29
D,167,Guéhi,4.5,4.5,Crystal Palace,86,2.64,82,1.17,80,3.03,78,1.08,78,3.14
F,168,Mateta,5.5,5.5,Crystal Palace,57,2.92,56,2.24,52,2.96,52,2.07,51,3.02
M,169,Eze,5.5,5.5,Crystal Palace,67,3.08,63,2.24,63,3.28,61,2.16,62,3.35
D,170,Mitchell,4.5,4.5,Crystal Palace,79,2.45,78,1.13,76,2.89,74,1.06,74,2.97
M,171,Olise,5.5,5.5,Crystal Palace,53,2.60,53,2.05,54,2.94,52,1.97,51,2.92
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,5,0.25,7,0.32,8,0.44,8,0.36,9,0.54
M,173,Ebiowei,4.5,4.5,Crystal Palace,1,0.05,1,0.08,2,0.14,2,0.13,3,0.21
D,174,Ferguson,4.0,4.0,Crystal Palace,14,0.47,19,0.34,21,0.83,23,0.39,25,1.03
G,175,Johnstone,4.5,4.5,Crystal Palace,6,0.23,6,0.21,6,0.27,7,0.26,10,0.43
G,176,Begović,4.0,4.0,Everton,2,0.06,2,0.07,2,0.08,3,0.13,3,0.13
F,177,Rondón,5.0,5.0,Everton,0,0.00,15,0.82,15,1.01,14,0.81,16,0.94
D,178,Coleman,4.5,4.5,Everton,44,1.22,61,1.83,70,3.26,69,2.23,68,2.21
M,179,Townsend,5.5,5.5,Everton,6,0.31,11,0.59,13,0.88,15,0.85,17,0.93
D,180,Keane,4.5,4.5,Everton,14,0.43,18,0.58,19,0.92,16,0.57,20,0.72
M,181,Dele,5.5,5.5,Everton,28,1.36,23,1.14,24,1.39,24,1.20,27,1.32
G,182,Pickford,4.5,4.5,Everton,89,3.19,88,3.24,88,3.81,87,3.27,86,3.23
M,183,Allan,5.0,5.0,Everton,45,1.48,42,1.39,43,1.66,44,1.47,43,1.45
M,184,André Gomes,4.5,4.5,Everton,37,1.44,35,1.38,35,1.56,36,1.41,38,1.49
M,185,A.Doucouré,5.5,5.5,Everton,82,2.50,80,2.50,76,2.88,77,2.47,75,2.44
M,186,Iwobi,5.5,5.5,Everton,70,2.32,64,2.19,62,2.59,62,2.19,61,2.23
M,187,Gbamin,4.5,4.5,Everton,3,0.11,2,0.09,2,0.09,2,0.10,3,0.14
D,188,Mina,4.5,4.5,Everton,72,2.05,68,2.08,67,3.09,67,2.20,65,2.15
M,189,Gray,5.5,5.5,Everton,71,3.05,68,3.08,67,3.97,66,3.15,64,3.12
M,190,Davies,5.0,5.0,Everton,26,1.03,23,0.93,24,1.10,25,1.00,27,1.08
F,191,Calvert-Lewin,8.0,8.0,Everton,78,3.48,74,3.42,73,4.40,75,3.62,72,3.58
D,192,Holgate,4.5,4.5,Everton,69,1.87,63,1.86,59,2.64,61,1.93,60,1.90
D,193,Godfrey,4.5,4.5,Everton,15,0.43,19,0.56,22,0.93,22,0.70,24,0.74
D,194,Mykolenko,4.5,4.5,Everton,81,2.45,79,2.60,77,3.91,73,2.58,74,2.62
M,195,Gordon,5.5,5.5,Everton,70,2.92,69,2.93,67,3.68,65,2.90,63,2.84
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,197,Patterson,4.0,4.0,Everton,3,0.07,2,0.06,2,0.08,3,0.07,3,0.08
